HE (EST),kWH
2017-05-08 08:00:00,2359.2
2017-05-08 08:15:00,2339.76
2017-05-08 08:30:00,2343.6
2017-05-08 08:45:00,2347.8
2017-05-08 09:00:00,2329.44
2017-05-08 09:15:00,2339.88
2017-05-08 09:30:00,2326.92
2017-05-08 09:45:00,2357.88
2017-05-08 10:00:00,2379.12
2017-05-08 10:15:00,2377.44
2017-05-08 10:30:00,2359.2
2017-05-08 10:45:00,2368.8
2017-05-08 11:00:00,2360.76
2017-05-08 11:15:00,2351.16
2017-05-08 11:30:00,2378.64
2017-05-08 11:45:00,2419.08
2017-05-08 12:00:00,2388.6
2017-05-08 12:15:00,2383.56
2017-05-08 12:30:00,2370.24
2017-05-08 12:45:00,2373.0
2017-05-08 13:00:00,2379.0
2017-05-08 13:15:00,2385.72
2017-05-08 13:30:00,2391.24
2017-05-08 13:45:00,2399.4
2017-05-08 14:00:00,2400.6
2017-05-08 14:15:00,2406.6
2017-05-08 14:30:00,2405.64
2017-05-08 14:45:00,2408.16
2017-05-08 15:00:00,2403.72
2017-05-08 15:15:00,2390.64
2017-05-08 15:30:00,2389.32
2017-05-08 15:45:00,2397.48
2017-05-08 16:00:00,2380.08
2017-05-08 16:15:00,2386.56
2017-05-08 16:30:00,2384.04
2017-05-08 16:45:00,2373.84
2017-05-08 17:00:00,2375.04
2017-05-08 17:15:00,2366.4
2017-05-08 17:30:00,2370.12
2017-05-08 17:45:00,2381.16
2017-05-08 18:00:00,2361.84
2017-05-08 18:15:00,2372.88
2017-05-08 18:30:00,2366.28
2017-05-08 18:45:00,2371.32
2017-05-08 19:00:00,2362.32
2017-05-08 19:15:00,2371.56
2017-05-08 19:30:00,2380.08
2017-05-08 19:45:00,2380.32
2017-05-08 20:00:00,2382.12
2017-05-08 20:15:00,2380.08
2017-05-08 20:30:00,2392.32
2017-05-08 20:45:00,2395.56
2017-05-08 21:00:00,2396.16
2017-05-08 21:15:00,2390.76
2017-05-08 21:30:00,2393.88
2017-05-08 21:45:00,2401.2
2017-05-08 22:00:00,2407.44
2017-05-08 22:15:00,2397.84
2017-05-08 22:30:00,2398.92
2017-05-08 22:45:00,2398.32
2017-05-08 23:00:00,2398.44
2017-05-08 23:15:00,2399.52
2017-05-08 23:30:00,2397.0
2017-05-08 23:45:00,2400.96
2017-05-09 00:00:00,2407.8
2017-05-09 00:15:00,2404.8
2017-05-09 00:30:00,2405.64
2017-05-09 00:45:00,2391.24
2017-05-09 01:00:00,2391.24
2017-05-09 01:15:00,2389.8
